creationDate|Person.id|Company.id|workFrom
2012-07-03T00:55:16.938+00:00|30786325577731|1043|2004
2012-07-03T00:55:16.938+00:00|30786325577731|999|2004
2012-07-03T00:55:16.938+00:00|30786325577731|1033|2005
2011-08-04T04:47:58.173+00:00|19791209299987|593|2006
2011-08-04T04:47:58.173+00:00|19791209299987|1572|2007
2011-08-04T04:47:58.173+00:00|19791209299987|1573|2006
2011-08-04T04:47:58.173+00:00|19791209299987|1574|2006
2010-06-15T10:00:57.698+00:00|4398046511139|888|2012
2010-06-15T10:00:57.698+00:00|4398046511139|889|2012
2010-06-15T10:00:57.698+00:00|4398046511139|890|2012
2010-06-15T10:00:57.698+00:00|4398046511139|891|2011
2010-06-15T10:00:57.698+00:00|4398046511139|894|2012
