creationDate|Person.id|Company.id|workFrom
2010-12-24T05:25:34.086+00:00|10995116277782|680|2007
2010-12-24T05:25:34.086+00:00|10995116277782|666|2008
2010-12-24T05:25:34.086+00:00|10995116277782|670|2008
2011-10-06T01:23:31.981+00:00|21990232555526|928|2008
2011-10-06T01:23:31.981+00:00|21990232555526|938|2008
2011-10-06T01:23:31.981+00:00|21990232555526|924|2009
2011-10-06T01:23:31.981+00:00|21990232555526|925|2007
2011-10-06T01:23:31.981+00:00|21990232555526|909|2008
2012-08-06T10:01:33.641+00:00|32985348833318|800|2011
2012-08-06T10:01:33.641+00:00|32985348833318|808|2010
2012-08-06T10:01:33.641+00:00|32985348833318|780|2007
2012-08-06T10:01:33.641+00:00|32985348833318|798|2008
