creationDate|Person.id|Post.id|type
2011-05-28T07:23:09.949Z|2199023255594|549755814054|LIKES
2011-05-29T20:11:25.811Z|2199023255594|549755814067|LIKES
2011-12-17T20:03:30.925Z|2199023255594|755914244290|LIKES
2012-08-30T03:33:49.816Z|26388279066655|1030792151252|LIKES
2011-03-18T14:50:58.186Z|2199023255594|481036337377|LIKES
2010-11-15T12:33:18.791Z|2199023255594|343597383920|LIKES
2010-07-30T00:17:28.645Z|2199023255594|206158430518|LIKES
2010-07-31T18:15:16.819Z|2199023255594|206158430523|LIKES
2010-07-31T13:58:07.852Z|2199023255594|206158430524|LIKES
2012-03-09T11:05:00.770Z|2199023255594|893353197985|LIKES
2012-03-14T05:27:52.990Z|26388279066655|893353197985|LIKES
2011-09-11T05:54:21.611Z|2199023255594|687194767800|LIKES
2011-09-15T02:48:47.283Z|2199023255594|687194767801|LIKES
2011-09-10T18:39:46.709Z|2199023255594|687194767808|LIKES
2010-12-23T08:35:01.672Z|2199023255594|343597384144|LIKES
2012-08-15T08:00:55.448Z|26388279066655|1030792151604|LIKES
2012-08-15T06:20:21.719Z|16|1030792151607|LIKES
2012-08-14T05:45:49.939Z|2199023255594|1030792151607|LIKES
2012-08-14T16:10:42.076Z|10995116277782|1030792151607|LIKES
2012-08-16T10:17:01.321Z|17592186044443|1030792151607|LIKES
2012-08-17T01:07:48.602Z|24189255811081|1030792151607|LIKES
2012-08-12T23:45:06.294Z|26388279066641|1030792151607|LIKES
2012-08-14T22:05:04.129Z|26388279066655|1030792151607|LIKES
2012-08-16T15:19:09.812Z|26388279066668|1030792151607|LIKES
2012-08-16T07:43:27.477Z|28587302322223|1030792151607|LIKES
2012-08-14T22:50:16.314Z|30786325577731|1030792151607|LIKES
2012-08-17T01:56:42.049Z|32985348833329|1030792151607|LIKES
2012-05-23T07:50:49.057Z|16|962072674945|LIKES
2012-05-23T12:38:22.991Z|2199023255594|962072674945|LIKES
2012-05-24T23:54:08.795Z|10995116277782|962072674945|LIKES
2012-05-22T04:52:15.712Z|13194139533352|962072674945|LIKES
2012-05-22T00:15:02.235Z|17592186044443|962072674945|LIKES
2012-05-19T04:34:24.700Z|24189255811081|962072674945|LIKES
2012-05-20T14:52:47.236Z|26388279066655|962072674945|LIKES
2012-05-19T10:01:00.254Z|28587302322223|962072674945|LIKES
2011-12-14T04:32:16.592Z|2199023255594|755914244794|LIKES
2011-12-09T21:20:22.094Z|2199023255594|755914244796|LIKES
2011-12-09T16:21:19.871Z|2199023255594|755914244801|LIKES
2011-12-11T01:41:25.013Z|2199023255594|755914244809|LIKES
2012-06-25T11:09:50.250Z|2199023255594|962072675043|LIKES
2012-06-23T11:01:47.017Z|24189255811081|962072675043|LIKES
2011-04-26T16:29:55.104Z|2199023255594|481036337913|LIKES
2012-04-21T12:52:25.452Z|2199023255594|893353198348|LIKES
2012-07-15T09:12:08.200Z|24189255811081|962072675093|LIKES
2012-07-12T06:28:39.786Z|24189255811081|962072675094|LIKES
2012-07-15T18:34:18.821Z|24189255811081|962072675095|LIKES
2012-01-25T02:19:09.937Z|2199023255594|824633721639|LIKES
2012-01-26T09:46:48.176Z|24189255811081|824633721639|LIKES
2012-03-05T08:39:08.900Z|2199023255594|824633721679|LIKES
2012-03-07T13:06:33.397Z|2199023255594|824633721684|LIKES
2012-01-29T18:39:14.012Z|10995116277761|824633721778|LIKES
2011-08-30T07:52:45.480Z|10995116277761|618475291587|LIKES
2011-08-31T06:14:22.884Z|10995116277761|618475291590|LIKES
2012-03-13T03:53:37.678Z|10995116277761|893353198588|LIKES
2012-03-14T00:52:46.164Z|10995116277761|893353198592|LIKES
2012-03-14T11:24:08.558Z|10995116277761|893353198598|LIKES
2012-03-13T18:49:41.613Z|10995116277761|893353198601|LIKES
2012-03-11T04:40:06.088Z|10995116277761|893353198603|LIKES
2012-08-04T07:51:30.496Z|10995116277761|1030792152078|LIKES
2012-08-18T02:25:02.467Z|10995116277761|1030792152099|LIKES
2011-01-22T05:20:24.273Z|13194139533355|412316861781|LIKES
2012-06-20T01:57:11.878Z|2199023255573|962072675715|LIKES
2011-10-04T16:46:27.717Z|13194139533352|687194768880|LIKES
2011-06-23T05:22:30.679Z|32|549755815486|LIKES
2011-06-26T03:36:51.738Z|2199023255594|549755815486|LIKES
2011-06-28T05:14:47.250Z|10995116277761|549755815486|LIKES
2011-08-09T05:01:05.989Z|2199023255594|618475292256|LIKES
2011-08-09T22:06:26.328Z|10995116277761|618475292256|LIKES
2011-08-05T16:33:47.450Z|19791209299987|618475292256|LIKES
2012-01-09T06:33:11.074Z|32|755914245737|LIKES
2012-01-12T10:01:20.822Z|10995116277761|755914245739|LIKES
2012-01-08T05:31:03.038Z|19791209299987|755914245739|LIKES
2011-10-02T03:15:53.291Z|32|687194769028|LIKES
