creationDate|Post.id|Place.id|type
2012-07-29T00:15:11.336Z|1030792151040|110|IS_LOCATED_IN
2012-07-29T00:15:12.336Z|1030792151041|1|IS_LOCATED_IN
2012-07-29T00:15:13.336Z|1030792151042|1|IS_LOCATED_IN
2012-07-29T00:15:14.336Z|1030792151043|1|IS_LOCATED_IN
2012-07-29T00:15:15.336Z|1030792151044|1|IS_LOCATED_IN
2012-07-29T00:15:16.336Z|1030792151045|1|IS_LOCATED_IN
2012-07-29T00:15:17.336Z|1030792151046|1|IS_LOCATED_IN
2012-07-29T00:15:18.336Z|1030792151047|1|IS_LOCATED_IN
2012-07-29T00:15:19.336Z|1030792151048|1|IS_LOCATED_IN
2012-07-29T00:15:20.336Z|1030792151049|1|IS_LOCATED_IN
2012-07-29T00:15:21.336Z|1030792151050|1|IS_LOCATED_IN
2012-07-29T00:15:22.336Z|1030792151051|1|IS_LOCATED_IN
2012-07-29T00:15:23.336Z|1030792151052|1|IS_LOCATED_IN
2012-07-29T00:15:24.336Z|1030792151053|1|IS_LOCATED_IN
2012-07-29T00:15:25.336Z|1030792151054|1|IS_LOCATED_IN
2012-07-29T00:15:27.336Z|1030792151056|1|IS_LOCATED_IN
2012-07-29T00:15:28.336Z|1030792151057|1|IS_LOCATED_IN
2012-07-29T00:15:29.336Z|1030792151058|23|IS_LOCATED_IN
2012-01-27T12:49:08.866Z|824633720867|1|IS_LOCATED_IN
2012-01-27T12:49:09.866Z|824633720868|1|IS_LOCATED_IN
2012-01-27T12:49:10.866Z|824633720869|1|IS_LOCATED_IN
2012-01-27T12:49:12.866Z|824633720871|1|IS_LOCATED_IN
2012-01-27T12:49:13.866Z|824633720872|1|IS_LOCATED_IN
2012-01-27T12:49:14.866Z|824633720873|1|IS_LOCATED_IN
2012-04-12T08:18:18.462Z|893353197610|1|IS_LOCATED_IN
2012-05-13T20:46:54.373Z|962072674347|1|IS_LOCATED_IN
2012-05-13T20:46:55.373Z|962072674348|1|IS_LOCATED_IN
2012-04-06T19:07:14.077Z|893353197613|1|IS_LOCATED_IN
2012-04-06T19:07:15.077Z|893353197614|1|IS_LOCATED_IN
2012-04-06T19:07:16.077Z|893353197615|1|IS_LOCATED_IN
2012-04-06T19:07:17.077Z|893353197616|1|IS_LOCATED_IN
2012-04-06T19:07:18.077Z|893353197617|1|IS_LOCATED_IN
2012-04-06T19:07:19.077Z|893353197618|1|IS_LOCATED_IN
