creationDate|Comment.id|Person.id|type
2012-06-29T18:59:44.956Z|962072674467|28587302322204|HAS_CREATOR
2012-07-19T13:47:41.728Z|1030792151560|24189255811081|HAS_CREATOR
2012-07-19T15:21:15.100Z|1030792151561|24189255811081|HAS_CREATOR
2012-07-02T11:10:43.970Z|962072674827|17592186044443|HAS_CREATOR
2012-07-02T09:01:05.378Z|962072674828|26388279066668|HAS_CREATOR
2012-07-02T18:16:03.788Z|962072674830|26388279066641|HAS_CREATOR
2012-07-19T02:26:23.011Z|1030792151567|10995116277782|HAS_CREATOR
2012-08-23T08:57:55.861Z|1030792151568|28587302322204|HAS_CREATOR
2012-08-23T07:18:07.432Z|1030792151570|28587302322204|HAS_CREATOR
2012-08-01T06:15:28.082Z|1030792151571|28587302322223|HAS_CREATOR
2012-07-02T06:10:58.455Z|962072674836|26388279066668|HAS_CREATOR
2012-08-01T07:06:41.752Z|1030792151573|28587302322223|HAS_CREATOR
2012-07-02T06:07:56.908Z|962072674838|26388279066641|HAS_CREATOR
2012-07-19T06:31:35.870Z|1030792151575|26388279066668|HAS_CREATOR
2012-08-27T13:17:07.561Z|1030792151577|30786325577731|HAS_CREATOR
2012-07-31T07:31:47.056Z|1030792151578|13194139533352|HAS_CREATOR
2012-08-27T15:57:29.444Z|1030792151579|30786325577731|HAS_CREATOR
2012-07-31T09:20:26.232Z|1030792151580|24189255811081|HAS_CREATOR
2012-07-31T10:24:37.798Z|1030792151582|26388279066641|HAS_CREATOR
2012-08-27T16:27:50.488Z|1030792151583|26388279066641|HAS_CREATOR
2012-07-31T19:15:16.928Z|1030792151584|24189255811081|HAS_CREATOR
2012-08-28T01:57:21.610Z|1030792151585|30786325577731|HAS_CREATOR
2012-08-28T15:39:47.552Z|1030792151587|13194139533352|HAS_CREATOR
2012-08-27T16:02:23.482Z|1030792151588|13194139533352|HAS_CREATOR
2012-08-27T16:02:59.702Z|1030792151590|28587302322204|HAS_CREATOR
2012-09-09T12:18:07.402Z|1099511628327|2199023255594|HAS_CREATOR
2012-05-18T15:20:34.006Z|962072675614|13194139533352|HAS_CREATOR
2012-05-18T12:20:04.808Z|962072675615|17592186044443|HAS_CREATOR
2012-05-17T20:28:59.395Z|962072675616|17592186044443|HAS_CREATOR
2012-05-18T00:59:18.193Z|962072675617|2199023255594|HAS_CREATOR
2012-05-17T20:51:57.539Z|962072675619|2199023255594|HAS_CREATOR
2012-07-13T19:54:52.562Z|1030792152357|26388279066658|HAS_CREATOR
2011-11-21T03:40:43.375Z|755914245414|13194139533352|HAS_CREATOR
2012-07-13T23:03:08.231Z|1030792152359|26388279066658|HAS_CREATOR
2012-02-28T17:22:51.967Z|824633722152|17592186044443|HAS_CREATOR
2012-07-13T21:50:58.357Z|1030792152362|2199023255594|HAS_CREATOR
2012-02-28T15:02:57.887Z|824633722155|17592186044443|HAS_CREATOR
2012-02-29T00:54:47.968Z|824633722157|17592186044443|HAS_CREATOR
2012-07-13T19:55:24.460Z|1030792152366|13194139533352|HAS_CREATOR
2012-07-13T16:53:32.534Z|1030792152367|26388279066658|HAS_CREATOR
2012-07-13T18:46:10.614Z|1030792152368|26388279066658|HAS_CREATOR
2011-10-18T16:02:02.895Z|687194768694|2199023255557|HAS_CREATOR
2011-10-19T13:08:02.766Z|687194768695|2199023255557|HAS_CREATOR
2011-10-19T04:15:16.504Z|687194768696|2199023255557|HAS_CREATOR
2011-10-18T22:25:10.886Z|687194768697|2199023255557|HAS_CREATOR
2011-10-18T15:44:35.359Z|687194768701|2199023255557|HAS_CREATOR
2011-10-19T08:05:35.964Z|687194768706|2199023255557|HAS_CREATOR
2011-07-22T19:58:03.865Z|618475291982|2199023255557|HAS_CREATOR
