creationDate|Person.id|Organisation.id|workFrom|type
2011-07-26T21:41:34.142Z|19791209299968|548|2007|WORK_AT
2012-03-30T10:11:12.788Z|28587302322180|1564|2006|WORK_AT
2012-03-30T10:11:12.788Z|28587302322180|1566|2007|WORK_AT
2012-04-08T11:47:54.301Z|28587302322204|1248|2006|WORK_AT
2012-07-03T00:55:16.938Z|30786325577731|1043|2004|WORK_AT
2012-07-03T00:55:16.938Z|30786325577731|999|2004|WORK_AT
2012-07-03T00:55:16.938Z|30786325577731|1033|2005|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|593|2006|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|1572|2007|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|1573|2006|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|1574|2006|WORK_AT
2011-06-24T17:11:54.199Z|17592186044443|970|2004|WORK_AT
2011-06-24T17:11:54.199Z|17592186044443|974|2005|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|544|2007|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|546|2007|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|553|2008|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|540|2007|WORK_AT
2012-08-09T21:35:41.016Z|32985348833329|541|2000|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1227|2007|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1228|2006|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1229|2005|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1230|2005|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|481|2001|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|483|2003|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|457|2003|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|459|2002|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|444|2003|WORK_AT
2010-03-21T12:25:42.685Z|2199023255594|8|2003|WORK_AT
