creationDate|Person1.id|Person2.id
2012-05-23T20:59:37.460+00:00|24189255811081|24189255811109
2012-06-10T16:32:52.722+00:00|24189255811081|26388279066658
2012-07-01T08:09:52.719+00:00|24189255811081|26388279066668
2012-07-19T13:47:21.535+00:00|24189255811081|28587302322180
2012-08-03T15:36:12.077+00:00|24189255811081|28587302322196
2011-12-05T15:59:34.277+00:00|8796093022249|10995116277782
2011-08-03T22:55:19.719+00:00|8796093022249|13194139533355
2011-11-16T14:05:50.113+00:00|8796093022249|19791209299968
2012-01-08T14:23:30.207+00:00|8796093022249|24189255811081
2012-01-18T03:01:58.932+00:00|8796093022249|26388279066658
